"","eigenvalue","percentage of variance","cumulative percentage of variance"
"comp 84",26.7275379291059,0.0756986006646461,95.2904091710578
"comp 85",26.5337941860116,0.0740602796765257,95.3644694507343
"comp 86",25.9604063426185,0.0725460281960998,95.4370154789304
"comp 87",25.8842153894811,0.0714994495427207,95.5085149284731
"comp 88",25.8293309630845,0.0697464691778225,95.5782613976509
"comp 89",25.3438534862816,0.0684427140365311,95.6467041116875
"comp 90",25.1631883415109,0.0674506830973668,95.7141547947848
"comp 91",24.9961569455803,0.0667201979454489,95.7808749927303
"comp 92",24.7223705730699,0.064184723246648,95.8450597159769
"comp 93",24.5947095037275,0.0639276438720465,95.908987359849
"comp 94",24.4399947368334,0.0609655641310844,95.9699529239801
"comp 95",24.1889105236249,0.05955919155689,96.029512115537
"comp 96",23.9794547787649,0.0587245003244657,96.0882366158614
"comp 97",23.9392689311484,0.0580267144856027,96.146263330347
"comp 98",23.7640267405738,0.0566297548181054,96.2028930851651
"comp 99",23.5434603473986,0.055645441427188,96.2585385265923
"comp 100",23.4479374659428,0.0540495274433269,96.3125880540356
"comp 101",23.3360081513112,0.0535844792492544,96.3661725332849
"comp 102",23.2057256145757,0.0525828652267555,96.4187553985116
"comp 103",22.8394672578468,0.0512282698468119,96.4699836683585
"comp 104",22.4679009388051,0.0499937216294806,96.5199773899879
"comp 105",22.2850247982978,0.0495105383424873,96.5694879283304
"comp 106",22.1871533143005,0.0489834008579468,96.6184713291884
"comp 107",21.9985069787399,0.0480461614956519,96.666517490684
"comp 108",21.9342536789205,0.0473865189383412,96.7139040096224
"comp 109",21.8227032186564,0.0456086793957566,96.7595126890181
"comp 110",21.5786102761106,0.0450660180847248,96.8045787071028
"comp 111",21.1439723638141,0.0445717754306227,96.8491504825335
"comp 112",20.7070975222175,0.0440870381872717,96.8932375207207
"comp 113",20.4397367392744,0.0436287134854229,96.9368662342062
"comp 114",20.3413882017638,0.0425781521018698,96.979444386308
"comp 115",20.1873886605609,0.0420226300861377,97.0214670163942
"comp 116",20.0421658357266,0.0414150121402113,97.0628820285344
"comp 117",19.6780449611184,0.0409611118377369,97.1038431403721
"comp 118",19.5880024313587,0.0405377416485901,97.1443808820207
"comp 119",19.3057891211379,0.0400627961888988,97.1844436782096
"comp 120",19.0891413989036,0.0389775447301251,97.2234212229397
"comp 121",18.2025031893118,0.038796423133959,97.2622176460737
"comp 122",17.9808895766439,0.0376697374061054,97.2998873834798
"comp 123",17.5160032326155,0.0369994870157212,97.3368868704955
"comp 124",17.1210301288872,0.0362391462820421,97.3731260167776
"comp 125",16.6322562795275,0.0359589348280212,97.4090849516056
